newspaper	number
yahoo	71548
reuters	55264
allafrica	37283
dailymail	31810
bbc	31475
huffingtonpost	24450
theguardian	23722
washingtonpost	23225
website,	21320
news	18892
article	18031
independent	17888
ibtimes	17678
news.xinhuanet	17438
reliefweb.int	16766
american-reporter	16563
4-traders	16533
bloomberg	15784
globalpost	15371
dailystar	13875
business-standard	13696
globalsecurity	12820
worldbulletin	12819
sputniknews	12596
menafn	12558
timesofisrael	11600
hosted2	11524
jpost	11270
thenews	10912
freerepublic	10496
